Sort ,State,FIPS,County,County Seat(s),Population,Land Area,Land Area,Water Area,Water Area,Total Area,Total Area,Latitude,Longitude
57,AL,01113,Russell,Phenix City,52947,641.140,641.140,6.052,6.052,647.192,647.192,32.289811,85.186980
58,AL,01115,St. Clair,Ashville,83593,631.902,631.902,21.738,21.738,653.640,653.640,33.712963,86.315663
59,AL,01117,Shelby,Columbiana,195085,784.930,784.930,24.595,24.595,809.525,809.525,33.262937,86.678104
60,AL,01119,Sumter,Livingston,13763,903.887,903.887,9.435,9.435,913.322,913.322,32.597481,88.200057
61,AL,01121,Talladega,Talladega,82291,736.775,736.775,23.531,23.531,760.306,760.306,33.369277,86.175805
62,AL,01123,Tallapoosa,Dadeville,41616,716.521,716.521,49.733,49.733,766.254,766.254,32.863369,85.799553
63,AL,01125,Tuscaloosa,Tuscaloosa,194656,1321.755,1321.755,29.497,29.497,1351.252,1351.252,33.290202,87.522860
64,AL,01127,Walker,Jasper,67023,791.192,791.192,14.002,14.002,805.194,805.194,33.791571,87.301092
65,AL,01129,Washington,Chatom,17581,1080.207,1080.207,8.359,8.359,1088.566,1088.566,31.406974,88.202078
66,AL,01131,Wilcox,Camden,11670,888.498,888.498,18.913,18.913,907.411,907.411,31.990330,87.302205
67,AL,01133,Winston,Double Springs,24484,612.979,612.979,18.889,18.889,631.868,631.868,34.155888,87.364147
68,AK,02013,Aleutians East,Sand Point,3141,6981.943,6981.943,8027.917,8027.917,15009.860,15009.860,55.243722,161.950749
69,AK,02016,Aleutians West,—,5561,4390.276,4390.276,9726.162,9726.162,14116.438,14116.438,51.959447,178.338813
70,AK,02020,Anchorage,Anchorage,291826,1704.683,1704.683,256.318,256.318,1961.001,1961.001,61.177549,149.274354
71,AK,02050,Bethel,—,17013,40570.003,40570.003,4934.202,4934.202,45504.205,45504.205,60.928916,160.153350
72,AK,02060,Bristol Bay,Naknek,997,503.843,503.843,383.720,383.720,887.563,887.563,58.731373,156.986612
73,AK,02068,Denali,Healy,1826,12751.411,12751.411,25.509,25.509,12776.920,12776.920,63.682732,150.026719
74,AK,02070,Dillingham,—,4847,18568.778,18568.778,2346.429,2346.429,20915.207,20915.207,59.824816,158.602233
75,AK,02090,Fairbanks North Star,Fairbanks,97581,7338.209,7338.209,105.479,105.479,7443.688,7443.688,64.690832,146.599867
76,AK,02100,Haines,Haines,2508,2318.600,2318.600,406.903,406.903,2725.503,2725.503,59.099905,135.578102
77,AK,02105,HoonahAngoon,—,2150,7524.915,7524.915,3389.238,3389.238,10914.153,10914.153,58.076434,135.185100
78,AK,02110,Juneau,Juneau,31275,2701.931,2701.931,551.962,551.962,3253.893,3253.893,58.372700,134.178781
79,AK,02122,Kenai Peninsula,Soldotna,55400,16075.331,16075.331,8676.986,8676.986,24752.317,24752.317,60.366373,152.321973
80,AK,02130,Ketchikan Gateway,Ketchikan,13477,4858.414,4858.414,1795.149,1795.149,6653.563,6653.563,55.449938,131.106685
81,AK,02150,Kodiak Island,Kodiak,13592,6549.579,6549.579,5472.250,5472.250,12021.829,12021.829,57.553611,153.630911
82,AK,02164,Lake and Peninsula,King Salmon,1631,23652.009,23652.009,9270.490,9270.490,32922.499,32922.499,58.205065,156.705188
83,AK,02170,MatanuskaSusitna,Palmer,88995,24607.898,24607.898,649.709,649.709,25257.607,25257.607,62.182174,149.407974
84,AK,02180,Nome,—,9492,22961.761,22961.761,5315.859,5315.859,28277.620,28277.620,64.783686,164.188912
85,AK,02185,North Slope,Barrow,9430,88695.413,88695.413,6100.870,6100.870,94796.283,94796.283,69.449343,153.472830
86,AK,02188,Northwest Arctic,Kotzebue,7523,35572.584,35572.584,5176.351,5176.351,40748.935,40748.935,67.005066,160.021086
87,AK,02195,Petersburg,—,3815,3281.982,3281.982,2402.084,2402.084,5684.066,5684.066,56.639612,133.527996
88,AK,02198,Prince of WalesHyder,—,5559,3922.873,3922.873,3760.411,3760.411,7683.284,7683.284,55.415683,132.875734
89,AK,02220,Sitka,Sitka,8881,2870.339,2870.339,1941.092,1941.092,4811.431,4811.431,57.142509,135.332624
90,AK,02230,Skagway,Skagway,968,452.325,452.325,11.711,11.711,464.036,464.036,59.575097,135.335418
91,AK,02240,Southeast Fairbanks,—,7029,24768.808,24768.808,290.656,290.656,25059.464,25059.464,63.864997,143.218628
92,AK,02261,ValdezCordova,—,9636,34239.880,34239.880,6100.295,6100.295,40340.175,40340.175,61.349840,145.023141
93,AK,02270,Wade Hampton,—,7459,17081.433,17081.433,2591.518,2591.518,19672.951,19672.951,62.283174,163.190950
94,AK,02275,Wrangell,Wrangell,2369,2541.483,2541.483,920.574,920.574,3462.057,3462.057,56.279121,132.040326
